startDate,Abstract Registration Due,Final Version Due,endDate,City,Acronym,Type,Title,Field,Submission Deadline,Country,Homepage,Notification Due
,,2018-01-15T00:00:00,,,5G for URLLC 2018,Conference,5G for URLLC  2018 : 5G for Ultra-Reliable Low latency Communications,"5G, V2X, D2X, SDN",2017-08-15T00:00:00,,www.comsoc.org/netmag/cfp/5g-ultra-reliable-low-latency-communications,2017-12-15T00:00:00
,,,,,CITARJ-NAC 2017,Conference,CITARJ-NAC  2017 : CITAR Journal - Special issue on Narrative and Audiovisual Creation,"narrative, audiovisual creation",2016-12-31T00:00:00,,artes.ucp.pt/citarj/pages/view/specialissues-NarrativeandAudiovisualCreation,
2017-04-03T00:00:00,,2016-11-25T00:00:00,2017-04-07T23:59:59,Marrakech,ACM SAC RE-Track 2017,Conference,ACM SAC RE-Track  2017 : Requirements Engineering Track of ACM Symposium on Applied Computing,requirements engineering,2016-09-15T00:00:00,Morocco,www.cin.ufpe.br/~sac17-re/,2016-11-10T00:00:00
2016-11-12T00:00:00,,,2016-11-13T23:59:59,BEIJING,COLLABORATECOM 2016,Conference,"COLLABORATECOM  2016 : 12th EAI International Conference on Collaborative Computing: Networking, Applications and Worksharing",,,PEOPLE'S REPUBLIC OF CHINA,,
2017-04-11T00:00:00,,,2017-04-12T23:59:59,Dakar,Intersol 2017,Conference,Intersol  2017 : EAI International Conference on Innovations and Interdisciplinary Solutions for Underserved Areas,,,Senegal,,
2017-04-25T00:00:00,,2017-02-08T00:00:00,2017-04-27T23:59:59,Porto,WEBIST 2017,Conference,WEBIST  2017 : 13th International Conference on Web Information Systems and Technologies,,2016-11-23T00:00:00,Portugal,www.webist.org/,2017-01-25T00:00:00
2016-10-17T00:00:00,,2016-09-26T00:00:00,2016-10-18T23:59:59,Valencia,Congreso ISN 2016,Conference,"Congreso ISN  2016 : Congreso Internacional El inter̩s superior del ni̱o en la jurisprudencia internacional, comparada y espa̱ola","law, human rights, rights of the child",2016-09-05T00:00:00,Spain,www.uchceu.es/actividades/2016/congresos/congreso-internacional-el-interes-superior-del-ninyo-en-la-jurisprudencia-internacional-comparada,2016-09-15T00:00:00
2017-03-10T00:00:00,,,2017-03-12T23:59:59,Beijing,ICBDA 2017,Conference,ICBDA  2017 : The 2017 IEEE International Conference on Big Data Analysis (ICBDA 2017) - Ei Compendex,"data mining, databases, big data, data management",2016-11-01T00:00:00,China,www.icbda.org/,
2017-03-10T00:00:00,,,2017-03-12T23:59:59,Beijing,IEEE-ICBDA 2017,Conference,IEEE-ICBDA  2017 : The 2017 IEEE International Conference on Big Data Analysis (ICBDA 2017) - Ei Compendex,"information technology, communications, computer science, cloud computing",2016-11-01T00:00:00,China,www.icbda.org/,
2017-02-17T00:00:00,,,2017-02-19T23:59:59,Chengdu,ICCMME  2017,Conference,ICCMME   2017 : 2017 2nd International Conference on Composite Materials and Material Engineering (ICCMME 2017)--Ei Compendex and Scopus,"materials, nanotechnology, mechanical engineering, manufacturing",2016-10-30T00:00:00,China,www.iccmme.com/,
