startDate,Type,Final Version Due,endDate,City,Acronym,Country,Title,Abstract Registration Due,Field,Submission Deadline,Homepage,Notification Due
2016-12-17T00:00:00,Conference,2016-11-01T00:00:00,2016-12-18T23:59:59,Nanjing,IWDCF 2016,China,IWDCF  2016 : The 2nd International Workshop on Digital Crime and Forensics,,,2016-09-01T00:00:00,,2016-10-01T00:00:00
2016-12-06T00:00:00,Conference,2016-11-18T00:00:00,2016-12-07T23:59:59,Lisbon,CETC 2016,Portugal,"CETC  2016 : Conference on Electronics, Telecommunications and Computers",,"electronics, computers, telecommunications",2016-09-16T00:00:00,cetc2016.isel.pt/,2016-10-21T00:00:00
2017-07-10T00:00:00,Conference,,2017-07-14T23:59:59,Hong Kong,ICME 2017,,ICME  2017 : IEEE International Conference on Multimedia and Expo,2016-11-25T00:00:00,,2016-12-02T00:00:00,www.icme2017.org/,
2017-03-30T00:00:00,Conference,2017-11-01T00:00:00,2017-03-30T23:59:59,Juarez City,ICADIWT 2017,Mexico,ICADIWT  2017 : ICADWIT workshop proposals,,"computer science, intelligent systems, digital information, web technologies",2017-10-15T00:00:00,www.socio.org.uk/icadiwt/workshops/,2017-11-01T00:00:00
2016-12-12T00:00:00,Conference,2016-10-15T00:00:00,2016-12-13T23:59:59,Pilani  Rajasthan  India,IHCI 2016,,IHCI  2016 : 8th International Conference on Intelligent Human Computer Interaction,,,2016-08-29T00:00:00,www.bits-pilani.ac.in/IHCI2016/,2016-09-30T00:00:00
2016-08-25T00:00:00,Conference,,2016-08-25T23:59:59,Santiago,BAFI 2016,,BAFI  2016 : Business Analytics in Finance and Industry,,"business analytics, data science",,www.bafi.cl,
2016-11-13T00:00:00,Conference,,2016-11-13T23:59:59,Seattle,NL+SE 2016,WA,NL+SE  2016 : Natural language processing and software engineering,,"NLP, software engineering",2016-08-08T00:00:00,nlse-fse.github.io/,
2017-04-23T00:00:00,Conference,2017-02-20T00:00:00,2017-04-26T23:59:59,Virginia Beach,SpringSim 2017,VA,SpringSim  2017 : Spring Simulation Multi-Conference,2016-10-15T00:00:00,"simulation, computer, modeling, M&S;",2016-12-15T00:00:00,www.scs.org,2017-01-31T00:00:00
2017-06-04T00:00:00,Conference,2017-03-08T00:00:00,2017-06-08T23:59:59,Los Angeles,MSEC 2017,California,MSEC  2017 : Manufacturing Science and Engineering Conference,,"manufacturing, data analytics, high performance computing, process monitoring",2016-11-03T00:00:00,www.asme.org/events/msec,2017-02-03T00:00:00
,Conference,2016-10-08T00:00:00,,,IJESA 2016,,IJESA  2016 : International Journal of Embedded Systems and Applications,,"embedded systems, middleware, SOA, real-time",2016-08-30T00:00:00,airccse.org/journal/ijesa/Home.html,2016-09-30T00:00:00
