startDate,Abstract Registration Due,Final Version Due,endDate,City,Acronym,Type,Title,Field,Submission Deadline,Country,Homepage,Notification Due
2016-12-12T00:00:00,,2016-09-20T00:00:00,2016-12-12T23:59:59,Barcelona,MDDM 2016,Conference,MDDM  2016 : 1st International Workshop on Maritime Domain Data Mining at ICDM 2016,"data mining, machine learning, maritime surveillance, big data",2016-08-12T00:00:00,,bluehub.jrc.ec.europa.eu/news/MDDMworkshop/,2016-09-13T00:00:00
2017-01-21T00:00:00,,,2017-01-21T23:59:59,Durham University,Music Britain WW1  2017,Conference,"Music Britain WW1   2017 : A Great Divide or a Longer Nineteenth Century? Music, Britain and the First World War","music, world war 1, british music",2016-09-01T00:00:00,UK,www.dur.ac.uk/cncs/conferences/musicbritainww1/,2016-10-01T00:00:00
2016-11-12T00:00:00,,2016-09-01T00:00:00,2016-11-13T23:59:59,Dubai,ICAITA 2016,Conference,ICAITA  2016 : Fifth International Conference on Advanced Information Technologies and Applications,"computer architecture, operating systems, programming languages, databases",2016-07-24T00:00:00,UAE,icaita.org/2016/icaita/index.html,2016-08-24T00:00:00
2016-12-05T00:00:00,,2016-11-15T00:00:00,2016-12-08T23:59:59,Washington,STREAM 2016,Conference,STREAM  2016 : Workshop on Real-time and Stream Analytics in Big Data,"BIGDATA, stream, realtime, analytics",2016-09-15T00:00:00,,workshop.euranova.eu,2016-10-15T00:00:00
,,,,,Handbook of Methods in the Digital Human 2016,Conference,Handbook of Methods in the Digital Human  2016 : Handbook of Methods in the Digital Humanities,"digital humanities, methods, book, interdisciplinary",2016-09-01T00:00:00,,,
2016-10-27T00:00:00,,2016-10-09T00:00:00,2016-10-29T23:59:59,Valparaiso,CRoNe 2016,Conference,CRoNe  2016 : 2nd Congress on Robotics and Neuroscience - Call for posters,"robotics, neuroscience, mechatronics, artificial intelligence",2016-08-31T00:00:00,Chile,www.crone2016.org,2016-09-18T00:00:00
2017-03-06T00:00:00,,2016-11-20T00:00:00,2017-03-08T23:59:59,St. Petersburg,HPCMS 2017,Conference,HPCMS  2017 : Fourth Special Session on High Performance Computing in Modelling and Simulation (HPCMS),"parallel computing, modelling, simulation, GPGPU",2016-09-01T00:00:00,,pdp2017.org/hpcms.html,2016-10-25T00:00:00
2016-12-19T00:00:00,,2016-10-03T00:00:00,2016-12-22T23:59:59,Hyderabad India,SCIFR 2016,Conference,SCIFR  2016 :  Workshop on Software Composable Infrastructure (SCIFR),"datacenter, rack scale, interconnects, disaggregation",2016-08-15T00:00:00,,docs.google.com/document/d/1DpT3Ff4NemPzMdVxNFGdhKolxdcQ7pRUUcSgAMuICAM/pub,2016-09-21T00:00:00
,,,,,Historical Yearbook  2016,Conference,"Historical Yearbook   2016 : Historical Yearbook, Volume XIII, 2016","history, international relations, political biographies, cultural history",2016-09-30T00:00:00,,,
2017-06-26T00:00:00,,,2017-06-29T23:59:59,Warsaw,ISMIS 2017,Conference,ISMIS  2017 : 23rd International Symposium on Methodologies for Intelligent Systems,"artificial intelligence, machine learning, data mining, computer science",2017-01-29T00:00:00,Poland,ismis2017.ii.pw.edu.pl/,
